product_id;sku;ean;name;Kod producenta
212560894;1000184;4260223024801;Stół do kuchni blat roboczy stal nierdzewna dolną półka 120x60cm;1000184
212560896;1000185;4260223024818;Stół do kuchni blat roboczy stal nierdzewna dolną półka 120x70cm;1000185
212560897;1000186;4260223024825;Stół do kuchni blat roboczy stal nierdzewna dolną półka 100x60cm;1000186
212560898;1000187;4260223024832;Stół do kuchni blat roboczy stal nierdzewna dolną półka 100x70cm;1000187
212560899;1000188;4260223024849;Stół do kuchni blat roboczy ze stali nierdzewnej z rantem dolną 180x60cm;1000188
212560900;1000190;4260223027482;Zlew zlewozmywak basen gastronomiczny nierdzewny stalowy do kuchni 120cm;1000190
212560901;1000191;4260223028205;Szafka stalowa do kuchni z blatem roboczym rantem ze stali 200cm;1000191
212560902;1000193;4260223028281;Umywalka kuchenna do rąk ze stali nierdzewnej szer. 43,5cm;1000193
212560903;1000212;4260223021190;Zestaw Części zapasowe do przecinarek plazmowych CUT 60-80 22 elem;1000212
212560904;1000213;4260223021251;Zestaw Części zapasowe do przecinarek plazmowych CUT 120 10 elem;1000213
212560905;1000225;4260223024061;Przecinarka plazmowa PLASMA 85H Selection 85A;1000225
212560906;1000236;4260223024436;Przecinarka plazmowa PLASMA 125H Selection 125A;1000236
212560907;1000239;4260223023828;Zestaw Części zapasowe Plazma 45 PTrafimet Z;1000239
212560908;1000244;4260223026492;Przecinarka plazmowa sterowana Cnc PLASMA 125CNC Selection 125A;1000244
212560909;1000245;4260223026508;Przecinarka plazmowa sterowana Cnc PLASMA 85CNC Selection 85A;1000245
212560910;1000260;4260223026638;Części zapasowe do PLASMA 85-125CNC;1000260
212560911;1000264;4260223024016;Chłodnica wodna spawalnicza AQUACOOL;1000264
212560912;1000266;4260223020568;Waga hakowa wisząca z pilotem 300kg LCD;1000266
212560913;1000267;4260223020575;Waga hakowa wisząca z pilotem 300kg LED;1000267
212560914;1000270;4260223020605;Waga hakowa towarowa do 3 Ton LCD;1000270
212560915;1000271;4260223020612;Waga hakowa wisząca dla przemysłu do 5 Ton LED;1000271
212560916;1000273;4260223020643;Waga hakowa podwieszana do dźwigu lub suwnicy 10 Ton LED;1000273
212560917;1000274;4260223020650;Waga hakowa podwieszana przemysłowa do dźwigu lub suwnicy 10 Ton LCD;1000274
212560918;1000275;4260223021909;Waga platforma paletowa do magazynu 3 Ton 3T;1000275
212560919;1000276;4260223020674;Waga platforma posadzkowa do palet magazynowa 5 Ton 5T;1000276
212560920;1000284;4250928694881;Waga magazynowa platformowa kalkulacyjna SBS PF 150 LCD do 150kg;1000284
212560921;1000285;4260223021411;Waga precyzyjna z szafką przecipodmuchową SBS LW 200A LCD dokł. 0,001g 200g;1000285
212560922;1000286;4260223021442;Waga precyzyjna dokładna SBS LW 2000A LCD dokł. 0,01g do 2000g;1000286
212560923;1000287;4260223021459;Waga precyzyjna dokładna SBS LW 7500A LCD dokł. 0,1g do 7500g;1000287
212560924;1000288;4260223021428;Waga precyzyjna z szafką przecipodmuchową SBS LW 300A LCD dokł. 0,001g 300g;1000288
212560925;1000290;4260223022180;Uniwersalna waga hakowa podwieszana do 300kg czarna;1000290
212560926;1000291;4260223022197;Uniwersalna waga hakowa podwieszana do 300kg czerwona;1000291
212560927;1000296;4250928686831;Waga kontrolna zliczająca sztuki SBS ZW 3001H LCD do 30kg;1000296
212560928;1000297;4260223022838;Waga wisząca 5 Ton hakowa z pilotem dla przemysłu do 5000kg LED;1000297
212560929;1000298;4260223022845;Waga hakowa 3000kg z pilotem dla przemysłu handlu LED;1000298
212560930;1000300;4260223022869;Waga platformowa magazynowa SBS PF 100A1 LED do 100kg;1000300
